ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	SUBGROUP	FORM	SPANISH	TOKENS	VALUE	BORROWING	MORPHEMES	NOTE	SOURCE
579	- u n g u - + tʃ i + n a	99 0 0	be sick	Napo	Quechua	unguchina	estar enfermo	u n g u + tʃ i + n a	unguchina				orrwrisley1981
580	χ e ʃ - j a	100	be sick	Pacaraos	Quechua	qishya	estar enfermo	χ e ʃ j a	qishya				adelaar1982
581	- u n g u - + n a	99 0	be sick	Pastaza	Quechua	unguna	estar enfermo	u n g u + n a	unguna				landerman1973
582	- u n ʁ u -	99	be sick	Pocona	Quechua	unγu	estar enfermo	u n ʁ u	unγu				heggarty2005
583	u s u	123	be sick	Puki	Aymara	usu	estar enfermo	u s u	usu				heggarty2005
584	- u n q u -	99	be sick	Puno	Quechua	unqu	estar enfermo	u n q u	unqu				heggarty2005
585	- u n g u -	99	be sick	Putumayo	Quechua	ungu	estar enfermo	u n g u	ungu				tandioy1978
586	- o ŋ q u -	99	be sick	SanPedro	Quechua	unqu-	estar enfermo	o ŋ q u	unqu-				shimelman2017
587	- o ŋ q o s	99	be sick	Santiagueno	Quechua	onqos	estar enfermo	o ŋ q o s	onqos				juanatey2021
588	h u n k u - + n i	99 0	be sick	SantoTomas	Quechua	huncuni	estar enfermo	h u n k u + n i	huncuni, quixiani				santotomas1951
589	q i χ - j a + n i	100 0	be sick	SantoTomas	Quechua	quixiani	estar enfermo	q i χ j a + n i	huncuni, quixiani				santotomas1951
590	- u n g u -	99	be sick	Serena	Quechua	ungu	estar enfermo	u n g u	ungu				heggarty2005
591	u s u	123	be sick	Sullkatiti	Aymara	usu	estar enfermo	u s u	usu				heggarty2005
592	- u n q u -	99	be sick	Taquile	Quechua	unqu	estar enfermo	u n q u	unqu				heggarty2005
593	χ e ʃ - j a	100	be sick	Tarma	Quechua	xišya	estar enfermo	χ e ʃ j a	xišya				adelaar1977
594	- u n g u -	99	be sick	Troje	Quechua	ungu	estar enfermo	u n g u	ungu				heggarty2005
595	q i ʃ - j a	100	be sick	Yanac	Quechua	qišya.	estar enfermo	q i ʃ j a	qiš(i)ya., ġišya				heggarty2005
597	w a t - a	7768	year	Anonimo	Quechua	huata	año	w a t a	huata				valera1586
598	w a t - a	7768	year	Apuri	Quechua	wata	año	w a t a	wata				shimelman2017
599	w a t - a	7768	year	Apurimac	Quechua	wata	año	w a t a	wata				camacho2007
600	w a t - a	7768	year	Arma	Quechua	wata	año	w a t a	wata				galvez2003
601	w a t - a	7768	year	Atalla	Quechua	wata	año	w a t a	wata				heggarty2005
602	w a t - a	7768	year	Ayacucho	Quechua	wata	año	w a t a	wata				soto1976
603	w a t - a	7768	year	Bobonaza	Quechua	huata	año	w a t a	huata				orrwrisley1981
604	w a t - a	7768	year	Cacra-Hongos	Quechua	wata	año	w a t a	wata				shimelman2017
605	w a t - a	7768	year	Chachapoyas	Quechua	wata	año	w a t a	wata				taylor2006
606	w a t - a	7768	year	Chacpar	Quechua	wata	año	w a t a	wata				heggarty2005
607	w a t - a	7768	year	Chetilla	Quechua	wata	año	w a t a	wata				heggarty2005
608	w a t - a	128	year	Chipaya	Uru-Chipaya	wata	año	w a t a	wata				heggarty2005
609	w a t - a	7768	year	Curva	Quechua	wata	año	w a t a	wata				heggarty2005
610	w a t - a	7768	year	Cuzco	Quechua	wata	año	w a t a	wata				heggarty2005
611	w a t - a	7768	year	CuzquenoAntiguo	Quechua	huata	año	w a t a	huata				holguin1608
612	w a t - a	7768	year	Huallaga	Quechua	wata	año	w a t a	wata				heggarty2005
613	w a t - a	7768	year	Huanca	Quechua	wata	año	w a t a	wata				cerron2018
614	m a r a	7769	year	Huancane	Aymara	mara	año	m a r a	mara				heggarty2005
615	w a t - a	7768	year	Huangascar	Quechua	wata	año	w a t a	wata				shimelman2017
616	w a t - a	7768	year	HuarazHuailas	Quechua	wata	año	w a t a	wata				parkerchavez1976
617	w a t - a	7768	year	Imbabura	Quechua	wata	año	w a t a	wata				gomez2009
618	a ɲ o	7770	year	Inkawasi	Quechua	año	año	a ɲ o	año	esp			heggarty2005
619	w a t - a	135	year	Jaqaru	Aymara	wata	año	w a t a	wata	quechua			heggarty2005
620	w a t j a	135	year	Kawki	Aymara	watya	año	w a t j a	watya	quechua			heggarty2005
621	w a t - a	7768	year	Lamas	Quechua	wata	año	w a t a	wata				taylor2006
622	w a t - a	7768	year	Laraos	Quechua	wata	año	w a t a	wata, watə				heggarty2005
623	w a t - ə	7768	year	Laraos	Quechua	watə	año	w a t ə	wata, watə				heggarty2005
624	w a t - a	7768	year	Lincha-Tana	Quechua	wata	año	w a t a	wata				shimelman2017
625	w a t - a	7768	year	Maragua	Quechua	wata	año	w a t a	wata				heggarty2005
626	w a t - a	7768	year	Napo	Quechua	huata	año	w a t a	huata				orrwrisley1981
627	w a t - a	7768	year	Pacaraos	Quechua	wata	año	w a t a	wata				adelaar1982
628	w a t - a	7768	year	Pastaza	Quechua	wata	año	w a t a	wata				landerman1973
629	w a t - a	7768	year	Pocona	Quechua	wata	año	w a t a	wata				heggarty2005
630	m a r a	7769	year	Puki	Aymara	mara	año	m a r a	mara				heggarty2005
631	w a t - a	7768	year	Puno	Quechua	wata	año	w a t a	wata				heggarty2005
632	w a t - a	7768	year	Putumayo	Quechua	huata	año	w a t a	huata				tandioy1978
633	w a t - a	7768	year	Raimondi	Quechua	wata	año	w a t a	wata				parkerchavez1976
634	w a t - a	7768	year	SanPedro	Quechua	wata	año	w a t a	wata				shimelman2017
635	w a t - a	7768	year	Santiagueno	Quechua	wata	año	w a t a	wata				juanatey2021
636	w a t - a	7768	year	SantoTomas	Quechua	guata	año	w a t a	guata, mara				santotomas1951
637	m a r a	7769	year	SantoTomas	Quechua	mara	año	m a r a	guata, mara	aymara			santotomas1951
638	w a t - a	7768	year	Serena	Quechua	wata	año	w a t a	wata				heggarty2005
639	m a r a	7769	year	Sullkatiti	Aymara	mara	año	m a r a	mara				heggarty2005
640	w a t - a	7768	year	Taquile	Quechua	wata	año	w a t a	wata				heggarty2005
641	w a t - a	7768	year	Tarma	Quechua	wata	año	w a t a	wata				adelaar1977
642	w a t - a	7768	year	Troje	Quechua	wata	año	w a t a	wata				heggarty2005
643	w a t - a	7768	year	Wari	Quechua	wata	año	w a t a	wata				parkerchavez1976
644	w a t - a	7768	year	Yanac	Quechua	wata	año	w a t a	wata				heggarty2005
645	s̺ ai k u - + n i	6848 0	tire	Anonimo	Quechua	ʃaycuni	cansar(se)	s̺ ai k u + n i	ʃaycuni, aycucuni				valera1586
646	- ai k u - + k u + n i	6848 0 0	tire	Anonimo	Quechua	aycucuni	cansar(se)	ai k u + k u + n i	ʃaycuni, aycucuni				valera1586
647	p i ʃ i p a	6849	tire	Apuri	Quechua	pishipa	cansar(se)	p i ʃ i p a	pishipa				shimelman2017
648	p i s i p a	6849	tire	Apurimac	Quechua	pisipa	cansar(se)	p i s i p a	pisipa				camacho2007
650	s ai k a -	6848	tire	Arma	Quechua	sayka	cansar(se)	s ai k a	sayka				galvez2003
651	p i s i p a	6849	tire	Atalla	Quechua	pisi.pa	cansar(se)	p i s i p a	pisi.pa				heggarty2005
652	p i s i p a	6849	tire	Ayacucho	Quechua	pisipa	cansar(se)	p i s i p a	pisipa				soto1976
653	s a m b ai + n a	101 0	tire	Bobonaza	Quechua	sambayna	cansar(se)	s a m b ai + n a	sambayna				orrwrisley1981
654	p i ʃ i p a	6849	tire	Cacra-Hongos	Quechua	pishipa	cansar(se)	p i ʃ i p a	pishipa				shimelman2017
655	ç ai k u -	6848	tire	Chachapoyas	Quechua	shayku	cansar(se)	ç ai k u	shayku				taylor2006
656	p i ʃ i p a	6849	tire	Chacpar	Quechua	piši'pa	cansar(se)	p i ʃ i p a	piši'pa				heggarty2005
657	ʃ ai k u -	6848	tire	Chetilla	Quechua	ša.yku	cansar(se)	ʃ ai k u	ša.yku				heggarty2005
658	o t z	6852	tire	Chipaya	Uru-Chipaya	ot.z	cansar(se)	o t z	ot.z				heggarty2005
659	s ai kʼ u -	6848	tire	Curva	Quechua	sa.yk'u	cansar(se)	s ai kʼ u	sa.yk'u				heggarty2005
660	s ai kʼ u -	6848	tire	Cuzco	Quechua	sa.yk'u	cansar(se)	s ai kʼ u	sa.yk'u				heggarty2005
661	s ai k u - + n i	6848 0	tire	CuzquenoAntiguo	Quechua	saycuni	cansar(se)	s ai k u + n i	saycuni				holguin1608
662	p i ʃ i p a	6849	tire	Huallaga	Quechua	piši.pa	cansar(se)	p i ʃ i p a	piši.pa				heggarty2005
663	p i ʃ i p a	6849	tire	Huanca	Quechua	pishipay	cansar(se)	p i ʃ i p a	pishipay				cerron1976
664	p i ʃ i p a	6849	tire	Jauja	Quechua	pishipay	cansar(se)	p i ʃ i p a	pishipay				cerron1976
665	u t i k a	107	tire	Huanca	Quechua	utikay	cansar(se)	u t i k a	utikay				cerron2018
666	q a r i x j a t a	6853	tire	Huancane	Aymara	qari.xyata	cansar(se)	q a r i x j a t a	qari.x(i)yata				heggarty2005
667	p i ʃ i p a	6849	tire	Huangascar	Quechua	pishipa	cansar(se)	p i ʃ i p a	pishipa				shimelman2017
668	p i ʃ i p aː	6849	tire	HuarazHuailas	Quechua	pishipaay	cansar(se)	p i ʃ i p aː	pishipaay				parkerchavez1976
669	ʃ ai x u - + ʃ k a	6848 0	tire	Imbabura	Quechua	shaijushka	cansar(se)	ʃ ai x u + ʃ k a	shaijushka			tired (adjective)	gomez2009
670	ʃ ai k u -	6848	tire	Inkawasi	Quechua	ša.yku	cansar(se)	ʃ ai k u	ša.yku				heggarty2005
671	ʃ ai k u	140	tire	Jaqaru	Aymara	ša.yku	cansar(se)	ʃ ai k u	ša.yku	quechua			heggarty2005
672	ʃ ai k u	140	tire	Kawki	Aymara	ša.yku	cansar(se)	ʃ ai k u	ša.yku	quechua			heggarty2005
673	ç ai k u -	6848	tire	Lamas	Quechua	shayku	cansar(se)	ç ai k u	shayku				taylor2006
674	ʃ ai k u -	6848	tire	Laraos	Quechua	ša.yku	cansar(se)	ʃ ai k u	ša.yku				heggarty2005
675	p i ʃ i p a	6849	tire	Lincha-Tana	Quechua	pishipa	cansar(se)	p i ʃ i p a	pishipa				shimelman2017
676	s ai kʼ u -	6848	tire	Maragua	Quechua	sa.yk'u	cansar(se)	s ai kʼ u	sa.yk'u				heggarty2005
677	s a m b ai + n a	101 0	tire	Napo	Quechua	sambayna	cansar(se)	s a m b ai + n a	sambayna				orrwrisley1981
678	p i ç i k a:	6849	tire	Pacaraos	Quechua	pishi-kaa	cansar(se)	p i ç i k a:	pishi-kaa			ka/ku alternation	adelaar1982
679	ʃ ai k u - + n a	6848 0	tire	Pastaza	Quechua	shaycuna	cansar(se)	ʃ ai k u + n a	shaycuna				landerman1973
680	s a m b a + j a + n a	101 0 0	tire	Pastaza	Quechua	sambayana	cansar(se)	s a m b a + j a + n a	sambayana				landerman1973
681	s ai kʼ u -	6848	tire	Pocona	Quechua	sa.yk'u	cansar(se)	s ai kʼ u	sa.yk'u				heggarty2005
682	q a r i	6853	tire	Puki	Aymara	qari	cansar(se)	q a r i	qari				heggarty2005
683	s ai kʼ u -	6848	tire	Puno	Quechua	sa.yk'u	cansar(se)	s ai kʼ u	sa.yk'u				heggarty2005
685	s a m b a + j a	101 0	tire	Putumayo	Quechua	sambaya	cansar(se)	s a m b a + j a	sambaya, saycuri				tandioy1978
686	s ai k u - + r i	6848 0	tire	Putumayo	Quechua	saycuri	cansar(se)	s ai k u + r i	sambaya, saycuri				tandioy1978
687	p i ʃ i p aː	6849	tire	Raimondi	Quechua	pishipaay	cansar(se)	p i ʃ i p aː	pishipaay				parkerchavez1976
688	p i ʃ i p a	6849	tire	SanPedro	Quechua	pishipa	cansar(se)	p i ʃ i p a	pishipa				shimelman2017
689	s ai k u s	6848	tire	Santiagueno	Quechua	saykus	cansar(se)	s ai k u s	saykus				juanatey2021
690	s ai k u - + n i + w i	6848 0 0	tire	SantoTomas	Quechua	ʃaycuni.gui	cansar(se)	s ai k u + n i + w i	ʃaycuni.gui				santotomas1951
691	s a m b a + j a	101 0	tire	Serena	Quechua	samba.ya	cansar(se)	s a m b a + j a	samba.ya				heggarty2005
692	q a r i	6853	tire	Sullkatiti	Aymara	qari	cansar(se)	q a r i	qari				heggarty2005
693	s ai kʼ u -	6848	tire	Taquile	Quechua	sa.yk'u	cansar(se)	s ai kʼ u	sa.yk'u				heggarty2005
694	ç ai g u -	6848	tire	Tarma	Quechua	šaygu	cansar(se)	ç ai g u	šaygu			also: stop going, stand still	adelaar1977
695	ʃ ai k u -	6848	tire	Troje	Quechua	ša.yku	cansar(se)	ʃ ai k u	ša.yku				heggarty2005
696	p i ʃ i p aː	6849	tire	Wari	Quechua	pishipaay	cansar(se)	p i ʃ i p aː	pishipaay				parkerchavez1976
697	ʃ e: k u -	6848	tire	Yanac	Quechua	še:ku	cansar(se)	ʃ e: k u	še:ku				heggarty2005
699	a tʃ - k a	3940	many	Apuri	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				shimelman2017
701	a s - k a	3940	many	Apurimac	Quechua	aska	mucho(s)!!!, harto	a s k a	aska				camacho2007
702	n i s j u	3947	many	Apurimac	Quechua	nisyu	mucho(s)!!!, harto	n i s j u	nisyu				camacho2007
703	a tʃ - k a	3940	many	Arma	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				galvez2003
704	a tʃ - k a	3940	many	Atalla	Quechua	ačka	mucho(s)!!!, harto	a tʃ k a	ačka				heggarty2005
705	a tʃ - k a	3940	many	Ayacucho	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				soto1976
706	a ʃ - k a	3940	many	Bobonaza	Quechua	ashca	mucho(s)!!!, harto	a ʃ k a	ashca				orrwrisley1981
707	a tʃ - k a	3940	many	Cacra-Hongos	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				shimelman2017
708	a ts - k a	3940	many	Chacpar	Quechua	atska	mucho(s)!!!, harto	a ts k a	atska				heggarty2005
709	a tʃ - k a	3940	many	Chetilla	Quechua	ačka	mucho(s)!!!, harto	a tʃ k a	ačka				heggarty2005
710	w a k tʃ i	3941	many	Chipaya	Uru-Chipaya	wakchi	mucho(s)!!!, harto	w a k tʃ i	wakchi; loki; muspa				heggarty2005
711	l o k i -	231	many	Chipaya	Uru-Chipaya	loki	mucho(s)!!!, harto	l o k i	wakchi; loki; muspa				heggarty2005
712	m u s p a	3948	many	Chipaya	Uru-Chipaya	muspa	mucho(s)!!!, harto	m u s p a	wakchi; loki; muspa				heggarty2005
713	a tʃ - kʰ a	3940	many	Curva	Quechua	ačkha	mucho(s)!!!, harto	a tʃ kʰ a	ačkha				heggarty2005
714	a s - kʰ a	3940	many	Cuzco	Quechua	askha	mucho(s)!!!, harto	a s kʰ a	askha				heggarty2005
715	a tʃ - k a	3940	many	CuzquenoAntiguo	Quechua	achca	mucho(s)!!!, harto	a tʃ k a	achca, ancha				holguin1608
717	a tʃ - k a	3940	many	Huallaga	Quechua	ačka	mucho(s)!!!, harto	a tʃ k a	ačka				heggarty2005
722	a tʃ - k a	3940	many	Huanca	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				cerron1976
723	s i n t i + n i	109 0	many	Huancane	Aymara	sinti.ni	mucho(s)!!!, harto	s i n t i + n i	sinti.ni				heggarty2005
724	a tʃ - k a	3940	many	Huangascar	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				shimelman2017
725	a tʃ - k a	3940	many	HuarazHuailas	Quechua	atska	mucho(s)!!!, harto	a tʃ k a	atska				parkerchavez1976
726	a tʃ - k a	3940	many	Imbabura	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				gomez2009
727	a tʃ - k a	3940	many	Inkawasi	Quechua	ačka	mucho(s)!!!, harto	a tʃ k a	ačka				heggarty2005
728	a ʈʂ h i	113	many	Jaqaru	Aymara	aĉhi	mucho(s)!!!, harto	a ʈʂ h i	aĉhi				heggarty2005
729	a ʈʂ - i	113	many	Kawki	Aymara	aĉi	mucho(s)!!!, harto	a ʈʂ i	aĉi				heggarty2005
731	a tʃ - k a	3940	many	Lamas	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	sukaman, achka				park1976
732	a tʃ - k a	3940	many	Laraos	Quechua	ačka	mucho(s)!!!, harto	a tʃ k a	ačka				heggarty2005
733	a tʃ - k a	3940	many	Lincha-Tana	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				shimelman2017
735	a ʃ - kʰ a + s	3940 0	many	Maragua	Quechua	aškha.s	mucho(s)!!!, harto	a ʃ kʰ a + s	aškha, aškha.s				heggarty2005
736	a ʃ - k a	3940	many	Napo	Quechua	ashca	mucho(s)!!!, harto	a ʃ k a	ashca				orrwrisley1981
737	- i s i s i:	114	many	Pacaraos	Quechua	isisii	mucho(s)!!!, harto	i s i s i:	isisii				adelaar1982
738	a tʃ - k a	3940	many	Pastaza	Quechua	achca	mucho(s)!!!, harto	a tʃ k a	achca				landerman1973
739	- - j a p a	3943	many	Pastaza	Quechua	yapa	mucho(s)!!!, harto	j a p a	yapa				landerman1973
740	a ʃ - kʰ a	3940	many	Pocona	Quechua	aškha	mucho(s)!!!, harto	a ʃ kʰ a	aškha				heggarty2005
741	w a l x a	3945	many	Puki	Aymara	walxa	mucho(s)!!!, harto	w a l x a	walxa				heggarty2005
742	a ʃ - kʰ a	3940	many	Puno	Quechua	aškha	mucho(s)!!!, harto	a ʃ kʰ a	aškha				heggarty2005
743	a tʃ - k a	3940	many	Putumayo	Quechua	achca	mucho(s)!!!, harto	a tʃ k a	achca				tandioy1978
744	a tʃ - k a	3940	many	Raimondi	Quechua	atska	mucho(s)!!!, harto	a tʃ k a	atska				parkerchavez1976
745	a tʃ - k a	3940	many	SanPedro	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				shimelman2017
746	a tʃ - k a	3940	many	Santiagueno	Quechua	achka	mucho(s)!!!, harto	a tʃ k a	achka				juanatey2021
747	a tʃ i k a	3940	many	SantoTomas	Quechua	achika	mucho(s)!!!, harto	a tʃ i k a	achika				santotomas1951
748	a ʃ - k a	3940	many	Serena	Quechua	aška	mucho(s)!!!, harto	a ʃ k a	aška				heggarty2005
749	tʰ a n - qʰ a	115	many	Sullkatiti	Aymara	thanqha	mucho(s)!!!, harto	tʰ a n qʰ a	thanqha				heggarty2005
750	a ʃ - kʰ a	3940	many	Taquile	Quechua	aškha	mucho(s)!!!, harto	a ʃ kʰ a	aškha				heggarty2005
751	a tʃ - k a	3940	many	Tarma	Quechua	ačka	mucho(s)!!!, harto	a tʃ k a	ačka				adelaar1977
752	a tʃ - k a	3940	many	Troje	Quechua	ačka	mucho(s)!!!, harto	a tʃ k a	ačka				heggarty2005
753	a tʃ - k a	3940	many	Wari	Quechua	atska	mucho(s)!!!, harto	a tʃ k a	atska				parkerchavez1976
754	a ts - k a	3940	many	Yanac	Quechua	atska	mucho(s)!!!, harto	a ts k a	atska				heggarty2005
755	h a n t a	2309	full	Anonimo	Quechua	hanta	lleno	h a n t a	hanta, huntaʃca			llena coʃa	valera1586
756	h u n t a + s̺ k a	2309 0	full	Anonimo	Quechua	huntaʃca	lleno	h u n t a + s̺ k a	hanta, huntaʃca			llena coʃa	valera1586
757	h u n t a	2309	full	Apuri	Quechua	hunta	lleno	h u n t a	hunta				shimelman2017
759	ʎ i n p a	2310	full	Apurimac	Quechua	llinpa	lleno	ʎ i n p a	llinpa				camacho2007
760	h u n t a	2309	full	Apurimac	Quechua	huntay	lleno	h u n t a	huntay				camacho2007
763	h u n t a	2309	full	Arma	Quechua	hunta	lleno	h u n t a	hunta				galvez2003
764	h u n t a	2309	full	Atalla	Quechua	hunta	lleno	h u n t a	hunta				heggarty2005
765	h u n t a	2309	full	Ayacucho	Quechua	hunta	lleno	h u n t a	hunta				soto1976
766	h u n d a	2309	full	Bobonaza	Quechua	junda	lleno	h u n d a	junda				orrwrisley1981
767	h u n t a	2309	full	Cacra-Hongos	Quechua	hunta	lleno	h u n t a	hunta				shimelman2017
769	x u n d a	2309	full	Chachapoyas	Quechua	junta	lleno	x u n d a	junta				taylor2006
770	h u n t a	2309	full	Chacpar	Quechua	hunta	lleno	h u n t a	hunta				heggarty2005
771	- u n d a	2309	full	Chetilla	Quechua	unda	lleno	u n d a	unda				heggarty2005
772	ts i n a -	116	full	Chipaya	Uru-Chipaya	tsina	lleno	ts i n a	tsina; chhipi				heggarty2005
773	tʃ h i p i	2315	full	Chipaya	Uru-Chipaya	chhipi	lleno	tʃ h i p i	tsina; chhipi				heggarty2005
774	h u n tʼ a	2309	full	Curva	Quechua	hunt'a	lleno	h u n tʼ a	hunt'a				heggarty2005
775	h u n tʼ a	2309	full	Cuzco	Quechua	hunt'a	lleno	h u n tʼ a	hunt'a				heggarty2005
776	h u n t a + s k a	2309 0	full	CuzquenoAntiguo	Quechua	huntaʃca	lleno	h u n t a + s k a	huntaʃca				holguin1608
777	h u n t a	2309	full	Huallaga	Quechua	hunta	lleno	h u n t a	hunta				heggarty2005
778	h u n t a	2309	full	Huanca	Quechua	hunta	lleno	h u n t a	hunta				cerron2018
779	pʰ u qʰ a	2312	full	Huancane	Aymara	phuqha	lleno	pʰ u qʰ a	phuqha				heggarty2005
780	h u n t a	2309	full	Huangascar	Quechua	hunta	lleno	h u n t a	hunta				shimelman2017
782	h u n t ai	2309	full	HuarazHuailas	Quechua	huntay	lleno	h u n t ai	huntay				parkerchavez1976
783	x u n d a	2309	full	Imbabura	Quechua	junda	lleno	x u n d a	junda				gomez2009
784	- u n d a	2309	full	Inkawasi	Quechua	unda	lleno	u n d a	unda				heggarty2005
785	pʰ u q a	2312	full	Jaqaru	Aymara	phuqa	lleno	pʰ u q a	phuqa				heggarty2005
786	pʰ u qʰ a	2312	full	Kawki	Aymara	phuqha	lleno	pʰ u qʰ a	phuqha				heggarty2005
787	x u n d a	2309	full	Lamas	Quechua	junta	lleno	x u n d a	junta				taylor2006
788	h u n t a	2309	full	Laraos	Quechua	hunta	lleno	h u n t a	hunta				heggarty2005
789	h u n t a	2309	full	Lincha-Tana	Quechua	hunta	lleno	h u n t a	hunta				shimelman2017
791	h u n tʼ a	2309	full	Maragua	Quechua	hunt'a	lleno	h u n tʼ a	hunt'a				heggarty2005
792	h u n d a	2309	full	Napo	Quechua	junda	lleno	h u n d a	junda				orrwrisley1981
793	x u n t a	2309	full	Pacaraos	Quechua	hunta	lleno	x u n t a	hunta				adelaar1982
794	- u n d a	2309	full	Pastaza	Quechua	unda	lleno	u n d a	unda				landerman1973
795	h u n tʼ a	2309	full	Pocona	Quechua	hunt'a	lleno	h u n tʼ a	hunt'a				heggarty2005
796	pʰ u qʰ a	2312	full	Puki	Aymara	phuqha	lleno	pʰ u qʰ a	phuqha				heggarty2005
797	h u n tʼ a	2309	full	Puno	Quechua	hunt'a	lleno	h u n tʼ a	hunt'a				heggarty2005
798	x u n d a	2309	full	Putumayo	Quechua	junda	lleno	x u n d a	junda				tandioy1978
799	h u n t ai	2309	full	Raimondi	Quechua	huntay	lleno	h u n t ai	huntay				parkerchavez1976
800	h u n t a	2309	full	SanPedro	Quechua	hunta	lleno	h u n t a	hunta				shimelman2017
802	- u n t a	2309	full	Santiagueno	Quechua	unta	lleno	u n t a	unta				juanatey2021
804	p u χ a + n i	147 0	full	SantoTomas	Quechua	puxani	lleno	p u χ a + n i	apani, puxani			llenar	santotomas1951
805	- u n d a + k t a	2309 0	full	Serena	Quechua	undakta	lleno	u n d a + k t a	undakta				heggarty2005
806	pʰ u qʰ a	2312	full	Sullkatiti	Aymara	phuqha	lleno	pʰ u qʰ a	phuqha				heggarty2005
807	h u n tʼ a	2309	full	Taquile	Quechua	hunt'a	lleno	h u n tʼ a	hunt'a				heggarty2005
808	χ o n t a	2309	full	Tarma	Quechua	xunta	lleno	χ o n t a	xunta				adelaar1977
809	h u n d a	2309	full	Troje	Quechua	hunda	lleno	h u n d a	hunda				heggarty2005
810	h u n t ai	2309	full	Wari	Quechua	huntay	lleno	h u n t ai	huntay				parkerchavez1976
811	- u n t a	2309	full	Yanac	Quechua	unta	lleno	u n t a	unta				heggarty2005
812	tʃ u k a k	1575	empty	Anonimo	Quechua	chuʃʃac	vacío	tʃ u k a k	chuʃʃac				valera1586
814	tʃ u s a q	1575	empty	Apurimac	Quechua	chusaq	vacío	tʃ u s a q	chusaq				camacho2007
816	v a s i j o	1577	empty	Atalla	Quechua	vaciyo	vacío	v a s i j o	vaciyo	esp			heggarty2005
818	tʃ u ʃ a -	1575	empty	Bobonaza	Quechua	chushaj	vacío	tʃ u ʃ a	chushaj				orrwrisley1981
819	h i n eː ʎ a	348	empty	Chacpar	Quechua	hine:.λa	vacío	h i n eː ʎ a	hine:.λa				heggarty2005
820	i ʎ a x	32	empty	Chetilla	Quechua	idya.x	vacío	i ʎ a x	idya.x				heggarty2005
821	- - - l a a tʃ i	125	empty	Chipaya	Uru-Chipaya	laa-chi	vacío	l a a tʃ i	laa-chi				heggarty2005
822	tʃʼ u s a χ	1575	empty	Curva	Quechua	č'usa.χ	vacío	tʃʼ u s a χ	č'usa.χ				heggarty2005
823	tʃʼ u s a χ	1575	empty	Cuzco	Quechua	č'usa.χ	vacío	tʃʼ u s a χ	č'usa.χ				heggarty2005
824	tʃ u s a k	1575	empty	CuzquenoAntiguo	Quechua	chhuʃʃac	vacío	tʃ u s a k	chhuʃʃac				holguin1608
825	h a: - k u + χ	1578 0	empty	Huallaga	Quechua	ha:ku.χ	vacío	h a: k u + χ	ha:ku.χ				heggarty2005
826	h a l k u + ʂ a	1578 0	empty	Huanca	Quechua	halkusha	vacío	h a l k u + ʂ a	halkusha				cerron1976
827	tʃʼ u s a -	148	empty	Huancane	Aymara	č'usa	vacío	tʃʼ u s a	č'usa				heggarty2005
828	tʃ u ʃ a x	1575	empty	Imbabura	Quechua	chushaj	vacío	tʃ u ʃ a x	chushaj				gomez2009
829	tʃ u n dʒ a -	80	empty	Inkawasi	Quechua	čun.dža	vacío	tʃ u n dʒ a	čun.dža				heggarty2005
830	h a: m a	122	empty	Jaqaru	Aymara	ha:ma	vacío	h a: m a	ha:ma				heggarty2005
831	h a m a	122	empty	Kawki	Aymara	hama	vacío	h a m a	hama				heggarty2005
833	i ʎ a χ	32	empty	Laraos	Quechua	iλa.χ	vacío	i ʎ a χ	iλa.χ				heggarty2005
835	tʃʼ u s a χ	1575	empty	Maragua	Quechua	č'usa.χ	vacío	tʃʼ u s a χ	č'usa.χ				heggarty2005
836	tʃ u ʃ a -	1575	empty	Napo	Quechua	chushaj	vacío	tʃ u ʃ a	chushaj				orrwrisley1981
837	i l a: -	32	empty	Pacaraos	Quechua	ilaa-	vacío	i l a:	ilaa-				adelaar1982
838	tʃ u ʃ a -	1575	empty	Pastaza	Quechua	chusha	vacío	tʃ u ʃ a	chusha				landerman1973
839	tʃʼ u s a χ	1575	empty	Pocona	Quechua	č'usa.χ	vacío	tʃʼ u s a χ	č'usa.χ				heggarty2005
840	tʃʼ u s a -	148	empty	Puki	Aymara	č'usa	vacío	tʃʼ u s a	č'usa				heggarty2005
841	tʃʼ u s a χ	1575	empty	Puno	Quechua	č'usa.χ	vacío	tʃʼ u s a χ	č'usa.χ				heggarty2005
842	tʃ u s a -	1575	empty	Putumayo	Quechua	chusa	vacío	tʃ u s a	chusa				tandioy1978
844	w ai ʎ a	349	empty	Raimondi	Quechua	waylla	vacío	w ai ʎ a	waylla				parkerchavez1976
845	tʃ u s a χ	1575	empty	Santiagueno	Quechua	chusaq	vacío	tʃ u s a χ	chusaq				juanatey2021
