ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Borrowing,Partial_Cognacy
Troje-130_hideto-1,,Troje,130_hideto,paka.,paka.,p a k a,,heggarty2005,347,,,,,2983
Wari-130_hideto-1,,Wari,130_hideto,pakaay,pakaay,p a k aː,,parkerchavez1976,347,,,,,2983
Yanac-130_hideto-1,,Yanac,130_hideto,paka.,paka.,p a k a,,heggarty2005,347,,,,,2983
Anonimo-131_eatto-1,,Anonimo,131_eatto,micuni,micuni,m i k u + n i,,valera1586,56,,,,,1335 0
Apuri-131_eatto-1,,Apuri,131_eatto,miku-,miku-,m i k u,,shimelman2017,56,,,,,1335
Apurimac-131_eatto-1,,Apurimac,131_eatto,manya,manya,m a n j a,,camacho2007,12,,,,aymara,106
Apurimac-131_eatto-2,,Apurimac,131_eatto,miju,miju,m i χ u,,camacho2007,56,,,,,1335
Arma-131_eatto-1,,Arma,131_eatto,miku,miku,m i k u,,galvez2003,56,,,,,1335
Atalla-131_eatto-1,,Atalla,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Ayacucho-131_eatto-1,,Ayacucho,131_eatto,miku,miku,m i k u,,soto1976,56,,,,,1335
Bobonaza-131_eatto-1,,Bobonaza,131_eatto,micuna,micuna,m i k u + n a,,orrwrisley1981,56,,,,,1335 0
Cacra-Hongos-131_eatto-1,,Cacra-Hongos,131_eatto,miku-,miku-,m i k u,,shimelman2017,56,,,,,1335
Chachapoyas-131_eatto-1,,Chachapoyas,131_eatto,miku,miku,m i k u,,taylor2006,56,,,,,1335
Chacpar-131_eatto-1,,Chacpar,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Chetilla-131_eatto-1,,Chetilla,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Chipaya-131_eatto-1,,Chipaya,131_eatto,lul.z,lul.z,l u l z,,heggarty2005,57,,,,,1337
Curva-131_eatto-1,,Curva,131_eatto,mi.khu.,mi.khu.,m i kʰ u,,heggarty2005,56,,,,,1335
Cuzco-131_eatto-1,,Cuzco,131_eatto,mi.xu.,mi.xu.,m i x u,,heggarty2005,56,,,,,1335
CuzquenoAntiguo-131_eatto-1,,CuzquenoAntiguo,131_eatto,miccuni,miccuni,m i χ u + n i,,holguin1608,56,,,,,1335 0
Huallaga-131_eatto-1,,Huallaga,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Huanca-131_eatto-1,,Huanca,131_eatto,mikuy,mikuy,m i k u,,cerron2018,56,,,,,1335
Huancane-131_eatto-1,,Huancane,131_eatto,manq'a.,manq'a.,m a n qʼ a,,heggarty2005,12,,,,,106
Huangascar-131_eatto-1,,Huangascar,131_eatto,miku-,miku-,m i k u,,shimelman2017,56,,,,,1335
HuarazHuailas-131_eatto-1,,HuarazHuailas,131_eatto,mikuy,mikuy,m i k u,,parkerchavez1976,56,,,,,1335
Imbabura-131_eatto-1,,Imbabura,131_eatto,mikuna,mikuna,m i k u + n a,,gomez2009,56,,,,,1335 0
Inkawasi-131_eatto-1,,Inkawasi,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Iruhito-131_eatto-1,,Iruhito,131_eatto,luχ,luχ,l u χ,,cerron2016,57,,,,,1337
Jaqaru-131_eatto-1,,Jaqaru,131_eatto,palu.,palu.,p a l u,uru y jaqaru parecen compartir lu como raíz.,heggarty2005,58,,,,,1339
Kawki-131_eatto-1,,Kawki,131_eatto,palu.,palu.,p a l u,,heggarty2005,58,,,,,1339
Lamas-131_eatto-1,,Lamas,131_eatto,miku,miku,m i k u,,taylor2006,56,,,,,1335
Laraos-131_eatto-1,,Laraos,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Lincha-Tana-131_eatto-1,,Lincha-Tana,131_eatto,miku-,miku-,m i k u,,shimelman2017,56,,,,,1335
Maragua-131_eatto-1,,Maragua,131_eatto,mi.khu.,mi.khu.,m i kʰ u,,heggarty2005,56,,,,,1335
Napo-131_eatto-1,,Napo,131_eatto,micuna,micuna,m i k u + n a,,orrwrisley1981,56,,,,,1335 0
Pacaraos-131_eatto-1,,Pacaraos,131_eatto,"miku, mika",miku,m i k u,,adelaar1982,56,,,,,1335
Pacaraos-131_eatto-2,,Pacaraos,131_eatto,"miku, mika",mika,m i k a,,adelaar1982,56,,,,,1335
Pastaza-131_eatto-1,,Pastaza,131_eatto,micuna,micuna,m i k u + n a,,landerman1973,56,,,,,1335 0
Pocona-131_eatto-1,,Pocona,131_eatto,mi.khu.,mi.khu.,m i kʰ u,,heggarty2005,56,,,,,1335
Puki-131_eatto-1,,Puki,131_eatto,maq'a.,maq'a.,m a qʼ a,,heggarty2005,12,,,,,106
Puno-131_eatto-1,,Puno,131_eatto,mi.khu.,mi.khu.,m i kʰ u,,heggarty2005,56,,,,,1335
Putumayo-131_eatto-1,,Putumayo,131_eatto,micuy,micuy,m i k u,,tandioy1978,56,,,,,1335
Raimondi-131_eatto-1,,Raimondi,131_eatto,mikuy,mikuy,m i k u,,parkerchavez1976,56,,,,,1335
SanPedro-131_eatto-1,,SanPedro,131_eatto,miku-,miku-,m i k u,,shimelman2017,56,,,,,1335
Santiagueno-131_eatto-1,,Santiagueno,131_eatto,mikuy,mikuy,m i x u,,juanatey2021,56,,,,,1335
SantoTomas-131_eatto-1,,SantoTomas,131_eatto,micuni,micuni,m i k u + n i,,santotomas1951,56,,,,,1335 0
Serena-131_eatto-1,,Serena,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Sullkatiti-131_eatto-1,,Sullkatiti,131_eatto,manq'a.,manq'a.,m a n qʼ a,,heggarty2005,12,,,,,106
Taquile-131_eatto-1,,Taquile,131_eatto,mi.khu.,mi.khu.,m i kʰ u,,heggarty2005,56,,,,,1335
Tarma-131_eatto-1,,Tarma,131_eatto,miku,miku,m i k u,,adelaar1977,56,,,,,1335
Troje-131_eatto-1,,Troje,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Tsimu-131_eatto-1,,Tsimu,131_eatto,luχ,luχ,l u χ,,cerron2016,57,,,,,1337
Wari-131_eatto-1,,Wari,131_eatto,mikuy,mikuy,m i k u,,parkerchavez1976,56,,,,,1335
Yanac-131_eatto-1,,Yanac,131_eatto,mi.ku.,mi.ku.,m i k u,,heggarty2005,56,,,,,1335
Anonimo-132_drinkto-1,,Anonimo,132_drinkto,"vpiani, vpiacuni",vpiani,u p j a + n i,,valera1586,29,,,,,1168 0
Anonimo-132_drinkto-2,,Anonimo,132_drinkto,"vpiani, vpiacuni",vpiacuni,u p j a + k u + n i,,valera1586,29,,,,,1168 0 0
Apuri-132_drinkto-1,,Apuri,132_drinkto,upya,upya,u p j a,,shimelman2017,29,,,,,1168
Apurimac-132_drinkto-1,,Apurimac,132_drinkto,upya,upya,u p j a,,camacho2007,29,,,,,1168
Arma-132_drinkto-1,,Arma,132_drinkto,upya,upya,u p j a,,galvez2003,29,,,,,1168
Atalla-132_drinkto-1,,Atalla,132_drinkto,upya.,upya.,u p j a,,heggarty2005,29,,,,,1168
Ayacucho-132_drinkto-1,,Ayacucho,132_drinkto,upya,upya,u p j a,,soto1976,29,,,,,1168
Bobonaza-132_drinkto-1,,Bobonaza,132_drinkto,upina,upina,u p i + n a,,orrwrisley1981,298,,,,,268 0
Cacra-Hongos-132_drinkto-1,,Cacra-Hongos,132_drinkto,upya,upya,u p j a,,shimelman2017,29,,,,,1168
Chachapoyas-132_drinkto-1,,Chachapoyas,132_drinkto,upya,upya,u p j a,,taylor2006,29,,,,,1168
Chetilla-132_drinkto-1,,Chetilla,132_drinkto,upya.,upya.,u p j a,,heggarty2005,29,,,,,1168
Chipaya-132_drinkto-1,,Chipaya,132_drinkto,lik.z,lik.z,l i k z,,heggarty2005,30,,,,,1169
Curva-132_drinkto-1,,Curva,132_drinkto,upya.,upya.,u p j a,,heggarty2005,29,,,,,1168
Cuzco-132_drinkto-1,,Cuzco,132_drinkto,uxya.,uxya.,u x j a,,heggarty2005,29,,,,,1168
CuzquenoAntiguo-132_drinkto-1,,CuzquenoAntiguo,132_drinkto,vpiyani,vpiyani,u p i j a + n i,,holguin1608,29,,,,,1168 0
Huanca-132_drinkto-1,,Huanca,132_drinkto,upyay,upyay,u p j a,,cerron2018,29,,,,,1168
Huancane-132_drinkto-1,,Huancane,132_drinkto,uma.,uma.,u m a,,heggarty2005,32,,,,,1171
Huangascar-132_drinkto-1,,Huangascar,132_drinkto,upya,upya,u p j a,,shimelman2017,29,,,,,1168
HuarazHuailas-132_drinkto-1,,HuarazHuailas,132_drinkto,upyay,upyay,u p j a,,parkerchavez1976,29,,,,,1168
Imbabura-132_drinkto-1,,Imbabura,132_drinkto,ufiana,ufiana,u f j a + n a,,gomez2009,29,,,,,1168 0
Inkawasi-132_drinkto-1,,Inkawasi,132_drinkto,upya.,upya.,u p j a,,heggarty2005,29,,,,,1168
Jaqaru-132_drinkto-1,,Jaqaru,132_drinkto,uma.,uma.,u m a,,heggarty2005,32,,,,,1171
Kawki-132_drinkto-1,,Kawki,132_drinkto,uma.,uma.,u m a,,heggarty2005,32,,,,,1171
Lamas-132_drinkto-1,,Lamas,132_drinkto,upya,upya,u p j a,,taylor2006,29,,,,,1168
Laraos-132_drinkto-1,,Laraos,132_drinkto,upya.,upya.,u p j a,,heggarty2005,29,,,,,1168
Lincha-Tana-132_drinkto-1,,Lincha-Tana,132_drinkto,upya,upya,u p j a,,shimelman2017,29,,,,,1168
Maragua-132_drinkto-1,,Maragua,132_drinkto,uxya.,uxya.,u x j a,,heggarty2005,29,,,,,1168
Napo-132_drinkto-1,,Napo,132_drinkto,upina,upina,u p i + n a,,orrwrisley1981,298,,,,,268 0
Pacaraos-132_drinkto-1,,Pacaraos,132_drinkto,"upya, upu",upya,u p j a,,adelaar1982,29,,,,,1168
Pastaza-132_drinkto-1,,Pastaza,132_drinkto,upyana,upyana,u p j a + n a,,landerman1973,29,,,,,1168 0
Pocona-132_drinkto-1,,Pocona,132_drinkto,uxya.,uxya.,u x j a,,heggarty2005,29,,,,,1168
Puki-132_drinkto-1,,Puki,132_drinkto,uma.,uma.,u m a,,heggarty2005,32,,,,,1171
Puno-132_drinkto-1,,Puno,132_drinkto,uxa.,uxa.,u x a,,heggarty2005,29,,,,,1168
Putumayo-132_drinkto-1,,Putumayo,132_drinkto,upia,upia,u p j a,,tandioy1978,29,,,,,1168
Raimondi-132_drinkto-1,,Raimondi,132_drinkto,upyay,upyay,u p j a,,parkerchavez1976,29,,,,,1168
SanPedro-132_drinkto-1,,SanPedro,132_drinkto,upya,upya,u p j a,,shimelman2017,29,,,,,1168
Santiagueno-132_drinkto-1,,Santiagueno,132_drinkto,upyay,upyay,u p j a,,juanatey2021,29,,,,,1168
SantoTomas-132_drinkto-1,,SantoTomas,132_drinkto,"vpiani, vpiacuni",vpiani,u p j a + n i,,santotomas1951,29,,,,,1168 0
SantoTomas-132_drinkto-2,,SantoTomas,132_drinkto,"vpiani, vpiacuni",vpiacuni,u p j a + k u + n i,,santotomas1951,29,,,,,1168 0 0
Serena-132_drinkto-1,,Serena,132_drinkto,upi.,upi.,u p i,,heggarty2005,298,,,,,268
Sullkatiti-132_drinkto-1,,Sullkatiti,132_drinkto,uma.,uma.,u m a,,heggarty2005,32,,,,,1171
Taquile-132_drinkto-1,,Taquile,132_drinkto,upya.,upya.,u p j a,,heggarty2005,29,,,,,1168
Tarma-132_drinkto-1,,Tarma,132_drinkto,upya,upya,u p j a,,adelaar1977,29,,,,,1168
Troje-132_drinkto-1,,Troje,132_drinkto,ubya.,ubya.,u b j a,,heggarty2005,29,,,,,1168
Wari-132_drinkto-1,,Wari,132_drinkto,upyay,upyay,u p j a,,parkerchavez1976,29,,,,,1168
Yanac-132_drinkto-1,,Yanac,132_drinkto,upya.,upya.,u p j a,,heggarty2005,29,,,,,1168
Anonimo-133_biteto-1,,Anonimo,133_biteto,canini,canini,k a n i + n i,,valera1586,372,,,,,311 0
Apuri-133_biteto-1,,Apuri,133_biteto,kani-,kani-,k a n i,,shimelman2017,372,,,,,311
Apurimac-133_biteto-1,,Apurimac,133_biteto,"kachu, kani",kachu,k a tʃ u,,camacho2007,198,,,,,214
Apurimac-133_biteto-2,,Apurimac,133_biteto,"kachu, kani",kani,k a n i,,camacho2007,372,,,,,311
Arma-133_biteto-1,,Arma,133_biteto,"kachu, kani",kachu,k a tʃ u,,galvez2003,198,,,,,214
Arma-133_biteto-2,,Arma,133_biteto,"kachu, kani",kani,k a n i,,galvez2003,372,,,,,311
Atalla-133_biteto-1,,Atalla,133_biteto,kača.,kača.,k a tʃ a,,heggarty2005,198,,,,,214
Ayacucho-133_biteto-1,,Ayacucho,133_biteto,kani,kani,k a n i,,soto1976,372,,,,,311
Bobonaza-133_biteto-1,,Bobonaza,133_biteto,canina,canina,k a n i + n a,,orrwrisley1981,372,,,,,311 0
Cacra-Hongos-133_biteto-1,,Cacra-Hongos,133_biteto,kani-,kani-,k a n i,,shimelman2017,372,,,,,311
Chachapoyas-133_biteto-1,,Chachapoyas,133_biteto,kani,kani,k a n i,,taylor2006,372,,,,,311
Chacpar-133_biteto-1,,Chacpar,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Chetilla-133_biteto-1,,Chetilla,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Chipaya-133_biteto-1,,Chipaya,133_biteto,tr'at.z,tr'at.z,ʈʂ’ a t z,,heggarty2005,484,,,,,374
Curva-133_biteto-1,,Curva,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Cuzco-133_biteto-1,,Cuzco,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
CuzquenoAntiguo-133_biteto-1,,CuzquenoAntiguo,133_biteto,canini,canini,k a n i + n i,,holguin1608,372,,,,,311 0
Huallaga-133_biteto-1,,Huallaga,133_biteto,kañi.,kañi.,k a ɲ i,,heggarty2005,372,,,,,311
Huanca-133_biteto-1,,Huanca,133_biteto,kaniy,kaniy,k a n i,,cerron2018,372,,,,,311
Huancane-133_biteto-1,,Huancane,133_biteto,aču.qa.,aču.qa.,a tʃ u + q a,,heggarty2005,446,,,,,357 0
Huangascar-133_biteto-1,,Huangascar,133_biteto,kani-,kani-,k a n i,,shimelman2017,372,,,,,311
HuarazHuailas-133_biteto-1,,HuarazHuailas,133_biteto,kani,kani,k a n i,,parkerchavez1976,372,,,,,311
Imbabura-133_biteto-1,,Imbabura,133_biteto,kanina,kanina,k a n i + n a,,gomez2009,372,,,,,311 0
Inkawasi-133_biteto-1,,Inkawasi,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Jaqaru-133_biteto-1,,Jaqaru,133_biteto,hawč'i.,hawč'i.,h au tʃʼ i,,heggarty2005,374,,,,,312
Kawki-133_biteto-1,,Kawki,133_biteto,hawč'i.,hawč'i.,h au tʃʼ i,,heggarty2005,374,,,,,312
Lamas-133_biteto-1,,Lamas,133_biteto,kani,kani,k a n i,,taylor2006,372,,,,,311
Laraos-133_biteto-1,,Laraos,133_biteto,kaĉu.,kaĉu.,k a ʈʂ u,,heggarty2005,198,,,,,214
Lincha-Tana-133_biteto-1,,Lincha-Tana,133_biteto,kani-,kani-,k a n i,,shimelman2017,372,,,,,311
Maragua-133_biteto-1,,Maragua,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Napo-133_biteto-1,,Napo,133_biteto,canina,canina,k a n i + n a,,orrwrisley1981,372,,,,,311 0
Pacaraos-133_biteto-1,,Pacaraos,133_biteto,kani,kani,k a n i,,adelaar1982,372,,,,,311
Pastaza-133_biteto-1,,Pastaza,133_biteto,canina,canina,k a n i + n a,,landerman1973,372,,,,,311 0
Pocona-133_biteto-1,,Pocona,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Puki-133_biteto-1,,Puki,133_biteto,turu.t'a.,turu.t'a.,t u r u + tʼ a,,heggarty2005,376,,,,,314 0
Puno-133_biteto-1,,Puno,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Putumayo-133_biteto-1,,Putumayo,133_biteto,cani,cani,k a n i,,tandioy1978,372,,,,,311
Raimondi-133_biteto-1,,Raimondi,133_biteto,kani,kani,k a n i,,parkerchavez1976,372,,,,,311
SanPedro-133_biteto-1,,SanPedro,133_biteto,kani-,kani-,k a n i,,shimelman2017,372,,,,,311
Santiagueno-133_biteto-1,,Santiagueno,133_biteto,kaniy,kaniy,k a n iː,,juanatey2021,372,,,,,311
SantoTomas-133_biteto-1,,SantoTomas,133_biteto,camini,camini,k a m i + n i,,santotomas1951,372,,,,,311 0
Serena-133_biteto-1,,Serena,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Sullkatiti-133_biteto-1,,Sullkatiti,133_biteto,p'ata.,p'ata.,pʼ a t a,,heggarty2005,485,,,,,375
Taquile-133_biteto-1,,Taquile,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Troje-133_biteto-1,,Troje,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Yanac-133_biteto-1,,Yanac,133_biteto,kani.,kani.,k a n i,,heggarty2005,372,,,,,311
Anonimo-134_suckto-1,,Anonimo,134_suckto,chomcani,chomcani,tʃ ɔ m k a + n i,,valera1586,211,,,,,220 0
Apuri-134_suckto-1,,Apuri,134_suckto,shuqu,shuqu,ʃ o q u,,shimelman2017,709,,,,,6339
Apurimac-134_suckto-1,,Apurimac,134_suckto,chonqa,chonqa,tʃ o n q a,,camacho2007,211,,,,,220
Arma-134_suckto-1,,Arma,134_suckto,suqu,suqu,s u χ u,,galvez2003,709,,,,,6339
Atalla-134_suckto-1,,Atalla,134_suckto,suχu.,suχu.,s u χ u,,heggarty2005,709,,,,,6339
Ayacucho-134_suckto-1,,Ayacucho,134_suckto,soqo,soqo,s o χ o,,soto1976,709,,,,,6339
Bobonaza-134_suckto-1,,Bobonaza,134_suckto,chupana,chupana,tʃ u p a + n a,,orrwrisley1981,207,,,,esp,217 0
Cacra-Hongos-134_suckto-1,,Cacra-Hongos,134_suckto,shuqu,shuqu,ʃ o q u,,shimelman2017,709,,,,,6339
Chachapoyas-134_suckto-1,,Chachapoyas,134_suckto,shuku,shuku,ç u k u,,taylor2006,709,,,,,6339
Chacpar-134_suckto-1,,Chacpar,134_suckto,šuqu.,šuqu.,ʃ u q u,,heggarty2005,709,,,,,6339
Curva-134_suckto-1,,Curva,134_suckto,č'u.nqa.,č'u.nqa.,tʃʼ u n q a,,heggarty2005,211,,,,,220
Cuzco-134_suckto-1,,Cuzco,134_suckto,č'u.nqa.,č'u.nqa.,tʃʼ u n q a,,heggarty2005,211,,,,,220
CuzquenoAntiguo-134_suckto-1,,CuzquenoAntiguo,134_suckto,chhumccani,chhumccani,tʃ u m χ a + n i,,holguin1608,211,,,,,220 0
Huallaga-134_suckto-1,,Huallaga,134_suckto,šuqu.,šuqu.,ʃ u q u,,heggarty2005,709,,,,,6339
Huanca-134_suckto-1,,Huanca,134_suckto,ñuñuy,ñuñuy,ɲ u ɲ u,,cerron2018,693,,,,,609
Huancane-134_suckto-1,,Huancane,134_suckto,č'u.mu.,č'u.mu.,tʃʼ u m u,,heggarty2005,710,,,,,6340
Huangascar-134_suckto-1,,Huangascar,134_suckto,shuqu,shuqu,ʃ o q u,,shimelman2017,709,,,,,6339
Wari-134_suckto-1,,Wari,134_suckto,shoquy,shoquy,ʃ o q u,,parkerchavez1976,709,,,,,6339
Imbabura-134_suckto-1,,Imbabura,134_suckto,chupana,chupana,tʃ u p a + n a,,gomez2009,207,,,,esp,217 0
Inkawasi-134_suckto-1,,Inkawasi,134_suckto,šuγu.,šuγu.,ʃ u ʁ u,,heggarty2005,709,,,,,6339
Jaqaru-134_suckto-1,,Jaqaru,134_suckto,šuq'u.,šuq'u.,ʃ u qʼ u,,heggarty2005,300,,,,,270
Kawki-134_suckto-1,,Kawki,134_suckto,šuq'u.,šuq'u.,ʃ u qʼ u,,heggarty2005,300,,,,,270
Lamas-134_suckto-1,,Lamas,134_suckto,shuku,shuku,ç u k u,,taylor2006,709,,,,,6339
Laraos-134_suckto-1,,Laraos,134_suckto,šuqu.,šuqu.,ʃ u q u,,heggarty2005,709,,,,,6339
Lincha-Tana-134_suckto-1,,Lincha-Tana,134_suckto,shuqu,shuqu,ʃ o q u,,shimelman2017,709,,,,,6339
Maragua-134_suckto-1,,Maragua,134_suckto,č'u.nqa.,č'u.nqa.,tʃʼ u n q a,,heggarty2005,211,,,,,220
Napo-134_suckto-1,,Napo,134_suckto,tsungana,tsungana,ts u n g a + n a,,orrwrisley1981,211,,,,,220 0
Pacaraos-134_suckto-1,,Pacaraos,134_suckto,shuqu,shuqu,ç o χ u,,adelaar1982,709,,,,,6339
Pastaza-134_suckto-1,,Pastaza,134_suckto,chupana,chupana,tʃ u p a + n a,,landerman1973,207,,,,esp,217 0
Pastaza-134_suckto-2,,Pastaza,134_suckto,tsungana,tsungana,ts u n g a + n a,,landerman1973,211,,,,,220 0
Pastaza-134_suckto-3,,Pastaza,134_suckto,chuchuna,chuchuna,tʃ u tʃ u + n a,,landerman1973,692,,,,,607 0
Pocona-134_suckto-1,,Pocona,134_suckto,č'u.nγa.,č'u.nγa.,tʃʼ u n ʁ a,,heggarty2005,211,,,,,220
Puki-134_suckto-1,,Puki,134_suckto,č'u.ma.,č'u.ma.,tʃʼ u m a,,heggarty2005,710,,,,,6340
Puno-134_suckto-1,,Puno,134_suckto,č'u.nqa.,č'u.nqa.,tʃʼ u n q a,,heggarty2005,211,,,,,220
Putumayo-134_suckto-1,,Putumayo,134_suckto,chuchuri,chuchuri,tʃ u tʃ u + r i,,tandioy1978,692,,,,,607 0
Raimondi-134_suckto-1,,Raimondi,134_suckto,shoquy,shoquy,ʃ o q u,,parkerchavez1976,709,,,,,6339
SanPedro-134_suckto-1,,SanPedro,134_suckto,shuqu,shuqu,ʃ o q u,,shimelman2017,709,,,,,6339
Santiagueno-134_suckto-1,,Santiagueno,134_suckto,"chonqay, ñuñuy",chonqay,tʃ o ŋ q a,,juanatey2021,211,,,,,220
Santiagueno-134_suckto-2,,Santiagueno,134_suckto,"chonqay, ñuñuy",ñuñuy,ɲ u ɲ u,,juanatey2021,693,,,,,609
SantoTomas-134_suckto-1,,SantoTomas,134_suckto,"ch’unqa, ch’umqa, suq’uni",ch’unqa,tʃ’ u n q a,,santotomas1951,211,,,,,220
SantoTomas-134_suckto-2,,SantoTomas,134_suckto,"ch’unqa, ch’umqa, suq’uni",ch’umqa,tʃ’ u m q a,,santotomas1951,211,,,,,220
SantoTomas-134_suckto-3,,SantoTomas,134_suckto,"ch’unqa, ch’umqa, suq’uni",suq’uni,s u q’ u + n i,,santotomas1951,709,,,,,6339 0
Serena-134_suckto-1,,Serena,134_suckto,tsu.nga.,tsu.nga.,ts u n g a,,heggarty2005,211,,,,,220
Sullkatiti-134_suckto-1,,Sullkatiti,134_suckto,č'a.mu.,č'a.mu.,tʃʼ a m u,,heggarty2005,710,,,,,6340
Taquile-134_suckto-1,,Taquile,134_suckto,č'u.nqa.,č'u.nqa.,tʃʼ u n q a,,heggarty2005,211,,,,,220
Tarma-134_suckto-1,,Tarma,134_suckto,šuxu,šuxu,ç o χ u,,adelaar1977,709,,,,,6339
Troje-134_suckto-1,,Troje,134_suckto,ču.ču.,ču.ču.,tʃ u tʃ u,,heggarty2005,692,,,,,607
HuarazHuailas-134_suckto-1,,HuarazHuailas,134_suckto,shoquy,shoquy,ʃ o q u,,parkerchavez1976,709,,,,,6339
Yanac-134_suckto-1,,Yanac,134_suckto,šuqu.,šuqu.,ʃ u q u,,heggarty2005,709,,,,,6339
Anonimo-135_lickto-1,,Anonimo,135_lickto,llachuani,llachuani,ʎ a tʃ w a + n i,,valera1586,448,,,,,3584 0
Apuri-135_lickto-1,,Apuri,135_lickto,llaqwa-,llaqwa-,ʎ a q w a,,shimelman2017,448,,,,,3584
Apurimac-135_lickto-1,,Apurimac,135_lickto,"llaqwa, lawqa",llaqwa,ʎ a q w a,,camacho2007,448,,,,,3584
Apurimac-135_lickto-2,,Apurimac,135_lickto,"llaqwa, lawqa",lawqa,l au q a,,camacho2007,448,,,,,3584
Arma-135_lickto-1,,Arma,135_lickto,llaqwa,llaqwa,ʎ a χ w a,,galvez2003,448,,,,,3584
Atalla-135_lickto-1,,Atalla,135_lickto,λaχwa.,λaχwa.,ʎ a χ w a,,heggarty2005,448,,,,,3584
Ayacucho-135_lickto-1,,Ayacucho,135_lickto,llaqwa,llaqwa,ʎ a χ w a,,soto1976,448,,,,,3584
Bobonaza-135_lickto-1,,Bobonaza,135_lickto,llaucana,llaucana,ʎ au k a + n a,,orrwrisley1981,448,,,,,3584 0
Cacra-Hongos-135_lickto-1,,Cacra-Hongos,135_lickto,llaqwa-,llaqwa-,ʎ a q w a,,shimelman2017,448,,,,,3584
Chachapoyas-135_lickto-1,,Chachapoyas,135_lickto,llakwa,llakwa,dʑ a k w a,,taylor2006,448,,,,,3584
Chacpar-135_lickto-1,,Chacpar,135_lickto,λaqwa.,λaqwa.,ʎ a q w a,,heggarty2005,448,,,,,3584
Chetilla-135_lickto-1,,Chetilla,135_lickto,dyaqwa.,dyaqwa.,ʎ a q w a,,heggarty2005,448,,,,,3584
Chipaya-135_lickto-1,,Chipaya,135_lickto,is.z; isis.z,is.z,i s z,,heggarty2005,449,,,,,3585
Chipaya-135_lickto-2,,Chipaya,135_lickto,is.z; isis.z,isis.z,i s i s z,,heggarty2005,449,,,,,3585
Curva-135_lickto-1,,Curva,135_lickto,λaqwa.,λaqwa.,ʎ a q w a,,heggarty2005,448,,,,,3584
Cuzco-135_lickto-1,,Cuzco,135_lickto,λaχwa.,λaχwa.,ʎ a χ w a,,heggarty2005,448,,,,,3584
CuzquenoAntiguo-135_lickto-1,,CuzquenoAntiguo,135_lickto,llakhuani,llakhuani,ʎ a k w a + n i,,holguin1608,448,,,,,3584 0
Huallaga-135_lickto-1,,Huallaga,135_lickto,λaqwa.,λaqwa.,ʎ a q w a,,heggarty2005,448,,,,,3584
Huanca-135_lickto-1,,Huanca,135_lickto,llaqway,llaqway,ʎ a ʔ w a,,cerron1976,448,,,,,3584
Huancane-135_lickto-1,,Huancane,135_lickto,haλq'a.,haλq'a.,h a ʎ qʼ a,,heggarty2005,450,,,,,3587
Huangascar-135_lickto-1,,Huangascar,135_lickto,llaqwa-,llaqwa-,ʎ a q w a,,shimelman2017,448,,,,,3584
HuarazHuailas-135_lickto-1,,HuarazHuailas,135_lickto,laqway,laqway,l a q w a,,parkerchavez1976,448,,,,,3584
Imbabura-135_lickto-1,,Imbabura,135_lickto,lambina,lambina,l a m b i + n a,,gomez2009,451,,,,esp,3588 0
Inkawasi-135_lickto-1,,Inkawasi,135_lickto,žaχwa.,žaχwa.,ʒ a χ w a,,heggarty2005,448,,,,,3584
Jaqaru-135_lickto-1,,Jaqaru,135_lickto,haλpi.,haλpi.,h a ʎ p i,,heggarty2005,450,,,,,3587
Kawki-135_lickto-1,,Kawki,135_lickto,haλpa.,haλpa.,h a ʎ p a,,heggarty2005,450,,,,,3587
Lamas-135_lickto-1,,Lamas,135_lickto,llakwa,llakwa,dʑ a k w a,,taylor2006,448,,,,,3584
Laraos-135_lickto-1,,Laraos,135_lickto,λaqwa.,λaqwa.,ʎ a q w a,,heggarty2005,448,,,,,3584
Lincha-Tana-135_lickto-1,,Lincha-Tana,135_lickto,llaqwa-,llaqwa-,ʎ a q w a,,shimelman2017,448,,,,,3584
